Row,Column,Assay,Sample,Conc,Ct,Tm,Efficiency,Flags
60,0,AY24,20A-rep2,-1,20.78,84.56,2.08,MultipleMeltPeaks
69,18,AY24,20A-rep3,-1,20.59,83.98,1.9,MultipleMeltPeaks
43,36,AY24,21A-rep1,-1,21.69,83.97,1.88,
52,54,AY24,21A-rep2,-1,21.64,84.06,1.85,
61,0,AY24,21A-rep3,-1,21.81,84.64,1.81,
70,18,AY24,22A-rep1,-1,20.21,84.25,1.86,
8,36,AY24,22A-rep2,-1,20.31,84.07,1.82,
17,54,AY24,22A-rep3,-1,20.24,83.86,1.84,MultipleMeltPeaks
26,0,AY24,23A-rep1,-1,21.37,84.48,1.84,MultipleMeltPeaks
35,18,AY24,23A-rep2,-1,21.05,84.07,1.84,
44,36,AY24,23A-rep3,-1,21.41,83.85,1.86,MultipleMeltPeaks
53,54,AY24,24A-rep1,-1,21.95,84.45,1.84,
62,0,AY24,24A-rep2,-1,22.63,84.4,2.17,MultipleMeltPeaks
71,18,AY24,24A-rep3,-1,22.13,84.14,1.67,"LowEfficiency, MultipleMeltPeaks"
0,1,AY29,1A-rep1,-1,27.04,91.15,1.88,
9,19,AY29,1A-rep2,-1,29,91.14,1.86,MultipleMeltPeaks
18,37,AY29,1A-rep3,-1,26.98,78.02,1.84,MultipleMeltPeaks
27,55,AY29,2A-rep1,-1,26.9,91.93,1.84,MultipleMeltPeaks
1,1,AY29,2A-rep2,-1,,,,CurveFitFailed
10,19,AY29,2A-rep3,-1,26.66,78.49,1.86,
19,37,AY29,3A-rep1,-1,30.26,90.98,1.8,"LowEfficiency, CtIsLarge, MultipleMeltPeaks"
28,55,AY29,3A-rep2,-1,27.9,89.44,1.89,MultipleMeltPeaks
2,1,AY29,3A-rep3,-1,27.65,90.77,1.92,
11,19,AY29,4A-rep1,-1,26.48,89.74,1.88,MultipleMeltPeaks
20,37,AY29,4A-rep2,-1,27.17,91.17,1.86,
29,55,AY29,4A-rep3,-1,29.58,83.49,1.84,"CtIsLarge, MultipleMeltPeaks"
3,1,AY29,5A-rep1,-1,28.64,90.52,1.86,MultipleMeltPeaks
12,19,AY29,5A-rep2,-1,29.11,90.72,1.84,
21,37,AY29,5A-rep3,-1,28.51,88.95,1.79,LowEfficiency
30,55,AY29,6A-rep1,-1,28.35,85.06,1.86,MultipleMeltPeaks
36,1,AY29,6A-rep2,-1,27.32,90.42,1.82,
45,19,AY29,6A-rep3,-1,27.8,89.98,1.81,
54,37,AY29,7A-rep1,-1,29.03,89.74,1.82,
63,55,AY29,7A-rep2,-1,27.55,89.62,1.81,
37,1,AY29,7A-rep3,-1,27.01,89.73,1.88,
46,19,AY29,8A-rep1,-1,27.54,89.95,1.88,MultipleMeltPeaks
55,37,AY29,8A-rep2,-1,27.64,89.41,1.9,MultipleMeltPeaks
64,55,AY29,8A-rep3,-1,26.75,89.91,1.79,LowEfficiency
38,1,AY29,9A-rep1,-1,26.69,90.45,1.86,
47,19,AY29,9A-rep2,-1,27.64,91.64,1.79,LowEfficiency
56,37,AY29,9A-rep3,-1,27.42,91.89,1.85,
65,55,AY29,10A-rep1,-1,27.01,86.01,1.85,
39,1,AY29,10A-rep2,-1,26.94,91.02,1.94,MultipleMeltPeaks
48,19,AY29,10A-rep3,-1,27.1,82.64,1.93,MultipleMeltPeaks
57,37,AY29,11A-rep1,-1,28.18,90.32,1.88,MultipleMeltPeaks
66,55,AY29,11A-rep2,-1,30.17,90.19,1.81,CtIsLarge
4,1,AY29,11A-rep3,-1,29.68,91.94,1.84,CtIsLarge
13,19,AY29,12A-rep1,-1,27.32,91.67,1.79,LowEfficiency
22,37,AY29,12A-rep2,-1,30.09,78.67,1.88,"CtIsLarge, MultipleMeltPeaks"
31,55,AY29,12A-rep3,-1,29.17,77.48,1.86,MultipleMeltPeaks
5,1,AY29,13A-rep1,-1,26.84,90.35,1.88,
14,19,AY29,13A-rep2,-1,27.39,83.92,1.89,
23,37,AY29,13A-rep3,-1,30,89.81,1.76,"LowEfficiency, CtIsLarge, MultipleMeltPeaks"
32,55,AY29,14A-rep1,-1,27.76,77.72,1.86,MultipleMeltPeaks
