"","AY111","AY115","AY125","AY134","AY138","AY152","AY159","AY186","AY188","AY191","AY207","AY211","AY218","AY224","AY226","AY228","AY236","AY24","AY241","AY244","AY245","AY254","AY263","AY284","AY29","AY300","AY309","AY331","AY339","AY353","AY365","AY37","AY381","AY386","AY389","AY409","AY410","AY416","AY418","AY432","AY438","AY439","AY456","AY458","AY459","AY46","AY460","AY465","AY466","AY472","AY489","AY490","AY492","AY493","AY495","AY528","AY533","AY536","AY537","AY538","AY545","AY553","AY562","AY566","AY568","AY571","AY572","AY586","AY595"
"R-rep1",NA,16.47,NA,13.35,NA,10.38,8.21,NA,NA,7.91,9.64,10.99,8.07,4.86,8.66,11.53,8.75,7.84,7.84,7.14,7.47,8.57,6.95,13.7,NA,5.48,NA,9.25,NA,9.12,8.15,NA,5.94,NA,NA,NA,NA,9.45,14.98,6.98,8.51,NA,2.94,10.21,NA,5.14,16.34,NA,8.49,8.76,8.47,6.47,7.36,7.57,11.19,5.68,7.44,7.32,14,NA,14.24,5.33,NA,NA,8.16,5.19,NA,8.06,4.75
"R-rep3",NA,15.75,11.38,14.75,10.58,10.8,9.38,13.45,NA,8.28,11.75,NA,7.87,5.45,9.8,11.92,8.6,7.53,8.04,8.03,7.78,9.01,6.97,14.07,NA,5.67,NA,8.84,NA,9.93,8.21,NA,6.32,NA,NA,NA,7.35,10.02,10.98,8.1,8.85,NA,3.33,11.45,9.6,NA,19.14,5.68,9.18,9.66,8.57,7.16,7.13,8.55,NA,6.41,7.22,7.56,NA,NA,14.82,5.56,NA,11.09,8.64,5.53,NA,8.48,5.52
"S-rep1",NA,NA,NA,13.76,8.3,10.79,8.93,14.85,NA,8.96,10.87,10.37,8.96,5.33,NA,12.39,9.69,7.19,8.95,NA,8.48,8.51,7.46,14.53,NA,5.86,NA,10.39,NA,9.62,7.66,NA,6.29,NA,NA,NA,7.59,9.59,NA,8.2,8.49,NA,3.32,11.57,7.52,5.77,NA,5.6,9.02,10.38,NA,7.08,8.08,8.67,NA,6.16,7.92,8.02,12.99,NA,NA,3,NA,11.29,5.13,5.53,5.9,8.72,5.5
"S-rep2",NA,NA,NA,12.87,7.18,10.46,7.34,14.8,NA,8.5,NA,10.93,8.81,4.9,NA,12.23,9.8,6.93,8.94,NA,NA,8.17,7.36,NA,NA,5.62,5.95,9.84,NA,8.91,7.45,NA,5.99,NA,NA,NA,7.26,9.63,NA,8.04,8.63,NA,3.06,10.18,7.66,5.6,NA,5.24,8.58,9.7,9.07,6.68,7.97,8.07,10.44,5.48,7.86,7.7,13.95,NA,15.14,2.95,NA,11.13,5.02,5.26,5.32,8.46,4.77
"S-rep3",NA,NA,NA,14.42,7.2,NA,8.93,NA,NA,8.6,10.86,11.74,9.09,NA,NA,11.79,9.44,7.17,8.73,NA,8.64,8.4,7.37,21.54,NA,5.67,5.92,10.31,NA,8.69,7.71,NA,5.54,NA,NA,NA,6.81,9.56,NA,7.49,NA,NA,3.98,10.38,NA,5.73,NA,5.08,9.92,9.25,8.99,6.66,8.14,7.83,11.28,6.48,8.15,7.75,12.89,NA,14.44,2.93,NA,11.17,5.05,5.92,5.64,9.69,5.78
"T-rep1",NA,16.12,NA,13.46,8.94,10.11,10.27,NA,NA,8.56,11.1,NA,NA,6.09,9.97,13.36,6.92,NA,8.57,NA,6.39,9.28,7.86,14.45,NA,5.95,7.81,NA,NA,10.45,7.32,NA,7,NA,NA,NA,7.48,10.73,10.27,NA,NA,NA,2.94,NA,9.17,NA,17.72,6.04,10.11,NA,8.89,7.78,7.02,9.1,NA,6.97,8.68,8.97,18.06,NA,NA,3.45,NA,NA,6.83,6.24,NA,9.27,5.95
"T-rep2",NA,NA,NA,13.32,8.44,10.57,8.71,NA,NA,8.27,10.63,NA,NA,5.15,8.82,12.25,7.01,NA,8.55,7.95,6.16,8.71,7.84,NA,NA,5.84,7.47,8.01,NA,9.24,7.06,NA,6.11,NA,NA,NA,7.04,9.3,9.73,8.35,NA,NA,2.96,11.06,9.24,NA,16.59,5.02,8.74,NA,8.86,6.81,6.79,8.67,10.12,6.16,8.6,8.55,16.42,NA,NA,3.46,NA,10.08,6.5,5.35,NA,8.31,5.24
"T-rep3",NA,19.44,NA,13.62,NA,11.31,NA,NA,NA,8.27,NA,NA,NA,5.11,9.03,12.04,6.96,NA,8.37,8.06,6.23,8.56,7.82,13.26,NA,5.79,7.42,8.24,NA,9.01,7.1,NA,6.5,NA,NA,NA,NA,9.78,9.67,7.23,NA,NA,3.24,9.72,NA,NA,14.68,5.17,9.14,NA,8.99,7.06,7.17,8.35,11.12,6.2,8.89,8.53,14.04,NA,NA,3.41,NA,10.57,6.77,5.37,NA,8.76,5.03
"U-rep1",NA,NA,NA,13.14,7.45,11.02,8.65,13.99,14.9,9.16,10.22,11.37,8.87,NA,9.48,11.61,9.79,8.61,8.02,NA,8.56,8.14,7.6,18.18,13.46,5.89,NA,10.41,NA,8.18,NA,NA,5.36,NA,NA,NA,6.52,9.22,14.39,NA,8.94,14.74,3.07,10.53,NA,5.46,17.34,4.81,NA,NA,NA,6.65,7.89,7.75,11.6,5.76,8.31,8.24,NA,NA,NA,5.46,NA,11.06,8.14,5.28,5.38,8.41,5
"U-rep2",NA,NA,NA,13.83,8.74,10.15,9.54,15.25,14.01,9.93,NA,12.57,9.14,5.35,9.93,11.52,9.57,8.7,8.62,NA,8.5,8.64,7.9,NA,NA,5.97,NA,9.96,NA,8.82,8.7,NA,6.4,NA,NA,NA,7.37,9.34,14.02,8.41,8.32,16.01,3.16,11.99,NA,5.53,15.22,5.84,8.89,NA,9.4,7.68,8.11,9.1,11.27,6.24,8.26,8.41,NA,NA,NA,5.41,NA,12.12,8.45,5.58,6.11,8.7,5.44
